pos	country_code	country	localite	category	value	date	sources	link	sdr_id	sdr_name	sdr_level
2	GN	Guinea	"Guekedou, Macenta, Nzerekore and Kissidougou"	Cases	86	41722	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf	8	Nzerekore	ADM1
3	GN	Guinea	"Guekedou, Macenta, Nzerekore and Kissidougou"	Deaths	59	41722	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf	8	Nzerekore	ADM1
4	GN	Guinea	"( Guekedou, Macenta and Kissidougou"	Cases	86	41723	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf	38	Gueckedou	ADM2
5	GN	Guinea	"( Guekedou, Macenta and Kissidougou"	Deaths	60	41723	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf	38	Gueckedou	ADM2
6	GN	Guinea	"( Guekedou, Macenta and Kissidougou"	Cases	86	41724	WHO	http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014	38	Gueckedou	ADM2
7	GN	Guinea	"( Guekedou, Macenta and Kissidougou)"	Deaths	62	41724	WHO	http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014	38	Gueckedou	ADM2
8	GN	Guinea	"( Guekedou, Macenta and Kissidougou)"	Cases	103	41725	WHO	http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014	38	Gueckedou	ADM2
9	GN	Guinea	"( Guekedou, Macenta and Kissidougou)"	Deaths	66	41725	WHO	http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014	38	Gueckedou	ADM2
10	GN	Guinea	"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)"	Deaths	70	41726	WHO	http://reliefweb.int/report/guinea/situation-de-la-fi-vre-virale-h-morragique-ebola-en-guin-e-au-30-mars-2014	4	Kankan	ADM1
11	GN	Guinea	Conakry	"Suspected cases"	5	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	2	Conakry	ADM1
12	GN	Guinea	Gueckedou	"Suspected cases"	69	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	38	Gueckedou	ADM2
13	GN	Guinea	Kankan	"Suspected cases"	1	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	4	Kankan	ADM1
14	GN	Guinea	Kissidougou	"Suspected cases"	7	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	17	Kissidougou	ADM2
15	GN	Guinea	"Lofa County"	"Suspected cases"	8	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	0		
16	GN	Guinea	Macenta	"Suspected cases"	21	41726	ECHO	http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf	40	Macenta	ADM2
17	GN	Guinea	National	Cases	122	41729	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0		
18	GN	Guinea	National	"Confirmed cases"	24	41729	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0		
19	GN	Guinea	National	Deaths	80	41729	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0		
20	GN	Guinea	National	"Probable cases"	78	41729	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0		
21	GN	Guinea	National	"Suspected cases"	22	41729	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014	0		
22	GN	Guinea	National	Cases	127	41730	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0	0		
23	GN	Guinea	National	"Confirmed cases"	35	41730	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0	0		
24	GN	Guinea	National	Deaths	83	41730	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-2-avril-2014-0	0		
25	GN	Guinea	Conakry	Cases	18	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	2	Conakry	ADM1
26	GN	Guinea	Conakry	Deaths	5	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	2	Conakry	ADM1
27	GN	Guinea	"Dabola and Djingaraye"	Cases	4	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	14	Dabola	ADM2
28	GN	Guinea	"Dabola and Djingaraye"	Deaths	3	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	14	Dabola	ADM2
29	GN	Guinea	Gueckedou	Cases	85	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	38	Gueckedou	ADM2
30	GN	Guinea	Gueckedou	Deaths	59	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	38	Gueckedou	ADM2
31	GN	Guinea	Kissidougou	Cases	9	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	17	Kissidougou	ADM2
32	GN	Guinea	Kissidougou	Deaths	5	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	17	Kissidougou	ADM2
33	GN	Guinea	Macenta	Cases	27	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	40	Macenta	ADM2
34	GN	Guinea	Macenta	Deaths	14	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	40	Macenta	ADM2
35	GN	Guinea	National	Cases	143	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	0		
36	GN	Guinea	National	"Confirmed cases"	54	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	0		
37	GN	Guinea	National	Deaths	86	41733	"Ministere de la Sante"	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-5-april-2014	0		
38	GN	Guinea	Conakry	Cases	20	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	2	Conakry	ADM1
39	GN	Guinea	Conakry	Deaths	6	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	2	Conakry	ADM1
40	GN	Guinea	"Dabola "	Cases	4	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	14	Dabola	ADM2
41	GN	Guinea	"Dabola "	Deaths	3	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	14	Dabola	ADM2
42	GN	Guinea	"Dinguiraye "	Cases	1	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	15	Dinguiraye	ADM2
43	GN	Guinea	"Dinguiraye "	Deaths	1	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	15	Dinguiraye	ADM2
44	GN	Guinea	Gueckedou	Cases	90	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	38	Gueckedou	ADM2
45	GN	Guinea	Gueckedou	Deaths	63	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	38	Gueckedou	ADM2
46	GN	Guinea	Kissidougou	Cases	9	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	17	Kissidougou	ADM2
47	GN	Guinea	Kissidougou	Deaths	6	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	17	Kissidougou	ADM2
48	GN	Guinea	Macenta	Cases	27	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	40	Macenta	ADM2
49	GN	Guinea	Macenta	Deaths	16	41736	WHO	http://reliefweb.int/sites/reliefweb.int/files/resources/evd-20140407-final.pdf	40	Macenta	ADM2
50	GN	Guinea	National	Cases	151	41736	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014	0		
51	GN	Guinea	National	Deaths	95	41736	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-7-avril-2014	0		
52	LR	Liberia	National	Cases	21	41737	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf	0		
53	LR	Liberia	National	"Confirmed cases"	5	41737	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf	0		
54	LR	Liberia	National	Deaths	10	41737	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF-Liberia%20SitRep%20%2312%20Ebola%20Viral%20Disease%208%20April%202014_1.pdf	0		
55	LR	Liberia	National	Cases	22	41738	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf	0		
56	LR	Liberia	National	"Confirmed cases"	5	41738	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf	0		
57	LR	Liberia	National	Deaths	12	41738	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep%20No.%2013%20Ebola%20Viral%20Disease%209%20April%202014_2.pdf	0		
58	GN	Guinea	National	Cases	157	41739	WHO	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014	0		
59	GN	Guinea	National	Deaths	101	41739	WHO	http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-10-april-2014	0		
60	LR	Liberia	"Bong County"	Cases	4	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5514	Bong	ADM1
61	LR	Liberia	"Bong County"	Deaths	0	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5514	Bong	ADM1
62	LR	Liberia	"Grand Cape Mount"	Cases	1	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5517	"Grand Cape Mount"	ADM1
63	LR	Liberia	"Grand Cape Mount"	Deaths	0	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5517	"Grand Cape Mount"	ADM1
64	LR	Liberia	"Lofa County"	Cases	10	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5520	Lofa	ADM1
65	LR	Liberia	"Lofa County"	Deaths	9	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5520	Lofa	ADM1
66	LR	Liberia	"Margibi County"	Cases	6	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5521	Margibi	ADM1
67	LR	Liberia	"Margibi County"	Deaths	1	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5521	Margibi	ADM1
68	LR	Liberia	"Montserrado County"	Cases	1	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5523	Montserrado	ADM1
69	LR	Liberia	"Montserrado County"	Deaths	1	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5523	Montserrado	ADM1
70	LR	Liberia	National	Cases	25	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	0		
71	LR	Liberia	National	"Confirmed cases"	5	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	0		
72	LR	Liberia	National	Deaths	12	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	0		
73	LR	Liberia	"Nimba County"	Cases	3	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5524	Nimba	ADM1
74	LR	Liberia	"Nimba County"	Deaths	1	41739	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/Ebola%20Virus%20Disease%20Epidemic%20in%20Liberia%2010%20April%20report_2.pdf	5524	Nimba	ADM1
75	GN	Guinea	Conakry	Cases	31	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	2	Conakry	ADM1
76	GN	Guinea	"Dabola "	Cases	5	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	14	Dabola	ADM2
77	GN	Guinea	"Dinguiraye "	Cases	1	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	15	Dinguiraye	ADM2
