uniqueid	restrictionscale	country	location	border_country	restrictiontype	restrictionnature	adm1	adm1_code	adm2	adm2_code	adm3	adm3_code	date_from	date_to	source	source_link	notes	country_code	sdr_id	sdr_name	sdr_level
ID1002	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Community Response"	n/a	n/a	n/a	n/a	n/a	n/a	2014-08-22	n/a	"Channel News Asia - Sierra Leone Law Ebola Victims"	http://www.channelnewsasia.com/news/world/two-year-jail-terms-for/1326170.html	"Outlawed the “harbouring” of Ebola victims - risk a jail sentence of up to two years."	SL	0		
ID1003	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Community Response"	n/a	n/a	n/a	n/a	n/a	n/a	2014-10-16	n/a	"UNMEER - External Situation Report"	http://reliefweb.int/sites/reliefweb.int/files/resources/20141016%20-%20UNMEER%20External%20Situation%20Report.pdf	"A standard operating procedure (SOP) for enforcing roadblocks and quarantines has been approved by the Government of Sierra Leone with training of 4,000 - 5,000 officers nationwide."	SL	0		
ID1004	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Movement Order"	n/a	n/a	n/a	n/a	n/a	n/a	2014-08-29	n/a	"Acaps - Global Emergency Overview"	http://reliefweb.int/sites/reliefweb.int/files/resources/geo_41.pdf	"Legislation was passed imposing a jail term of up to six months for anyone entering or leaving Ebola-affected areas without medical authorisation. Any sport involving physical contact was also prohibited."	SL	0		
ID1005	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Movement Order"	n/a	n/a	n/a	n/a	n/a	n/a	2014-09-19	2014-09-21	"Vox - Lockdown"	http://www.vox.com/2014/9/7/6117199/sierra-leone-lockdown-Ebola-virus	"Entire population not allowed to leave homes for 3 days to reduce spread."	SL	0		
ID1006	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Movement Order"	n/a	n/a	n/a	n/a	n/a	n/a	2014-09-09	n/a	"The Guardian - As Ebola Closes Schools in Africa / UNICEF - Sub-regional Response to the Ebola Outbreak"	http://www.theguardian.com/commentisfree/2014/sep/15/as-ebola-closes-schools-in-africa-how-do-we-help-children-learn	"All 7,740 schools remain closed. Schools have not opened since 9 September, and authorities are suggesting they may remain closed for three months or more."	SL	0		
ID1007	Domestic	"Sierra Leone"	Kailahun	n/a	"National Law"	"Movement Order"	Eastern	SL01	Kailahun	SL0101	n/a	n/a	2014-06-11	n/a	"Reuters - Sierra Leone Shuts Borders"	http://uk.reuters.com/article/2014/06/11/us-health-ebola-leone-idUKKBN0EM2CG20140611	"Closed schools, nightclubs and cinemas in Kailahun."	SL	8619	Eastern	ADM1
ID1008	Domestic	"Sierra Leone"	"Sierra Leone"	n/a	"National Law"	"Movement Order"	n/a	n/a	n/a	n/a	n/a	n/a	2014-08-13	n/a	http://reliefweb.int/sites/reliefweb.int/files/resources/b-acaps_bn_ebola_west_africa_impact_protection_14_oct_2014.pdf	http://reliefweb.int/sites/reliefweb.int/files/resources/b-acaps_bn_ebola_west_africa_impact_protection_14_oct_2014.pdf	"Restrictions have been put imposed on public and other mass gatherings."	SL	0		
ID1009	Domestic	"Sierra Leone"	Kailahun	n/a	"Area Blockade"	Quarantine	Eastern	SL01	Kailahun	SL0101	n/a	n/a	2014-08-07	n/a	"Business Council Africa - African Security Issues "	http://www.bcafrica.co.uk/news/976-african-security-issues-aug-8	"Blocking cars from moving in and out of affected areas. 16 checkpoints on major roads and foot patrols."	SL	8619	Eastern	ADM1
ID1010	Domestic	"Sierra Leone"	Kenema	n/a	"Area Blockade"	Quarantine	Eastern	SL01	Kenema	SL0102	n/a	n/a	2014-08-07	n/a	"Business Council Africa - African Security Issues "	http://www.bcafrica.co.uk/news/976-african-security-issues-aug-8	"Blocking cars from moving in and out of affected areas. 16 checkpoints on major roads and foot patrols."	SL	8619	Eastern	ADM1
ID1011	Domestic	"Sierra Leone"	"Port Loko"	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	n/a	n/a	2014-09-25	n/a	"Agence France-Presse - Sierra Leone quarentines one million"	http://reliefweb.int/report/sierra-leone/sierra-leone-quarantines-one-million-ahead-un-ebola-talks	"Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm."	SL	8620	Northern	ADM1
ID1012	Domestic	"Sierra Leone"	Bombali	n/a	"Area Blockade"	Quarantine	Northern	SL02	Bombali	SL0201	n/a	n/a	2014-09-25	n/a	"Agence France-Presse - Sierra Leone quarentines one million"	http://reliefweb.int/report/sierra-leone/sierra-leone-quarantines-one-million-ahead-un-ebola-talks	"Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm."	SL	8620	Northern	ADM1
ID1013	Domestic	"Sierra Leone"	Moyamba	n/a	"Area Blockade"	Quarantine	Southern	SL03	Moyamba	SL0303	n/a	n/a	2014-09-25	n/a	"Agence France-Presse - Sierra Leone quarentines one million"	http://reliefweb.int/report/sierra-leone/sierra-leone-quarantines-one-million-ahead-un-ebola-talks	"Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm."	SL	8621	Southern	ADM1
ID1014	Domestic	"Sierra Leone"	Koinadugu	n/a	"Area Blockade"	"Restricted Movement"	Northern	SL02	Koinadugu	SL0203	n/a	n/a	2014-08-04	n/a	"The Guardian - Ebola Outbreak Koinadugu"	http://www.theguardian.com/world/2014/nov/05/ebola-outbreak-koinadugu-sierra-leone-call-help-chief	"Koinadugu has restricted movement due to self-imposed quarantines by local chiefs."	SL	8620	Northern	ADM1
ID1015	Domestic	"Sierra Leone"	Marampa	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	Marampa	SL0204083	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1016	Domestic	"Sierra Leone"	"Buya Romende"	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	"Buya Romende"	SL0204077	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1017	Domestic	"Sierra Leone"	Maforki	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	Maforki	SL0204082	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1018	Domestic	"Sierra Leone"	"Bkm (aka Bureh)"	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	"Bkm (aka Bureh)"	SL0204076	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1019	Domestic	"Sierra Leone"	Koya	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	Koya	SL0204080	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1020	Domestic	"Sierra Leone"	"Masimera "	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	"Masimera "	SL0204084	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1021	Domestic	"Sierra Leone"	"Bombali Shebora"	n/a	"Area Blockade"	Quarantine	Northern	SL02	Bombali	SL0201	"Bombali Shebora"	SL0201046	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1022	Domestic	"Sierra Leone"	"Makarie Gbanti"	n/a	"Area Blockade"	Quarantine	Northern	SL02	Bombali	SL0201	"Makarie Gbanti"	SL0201051	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1023	Domestic	"Sierra Leone"	"Gbendembu Gowahun"	n/a	"Area Blockade"	Quarantine	Northern	SL02	Bombali	SL0201	"Gbendembu Gowahun"	SL0201048	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1024	Domestic	"Sierra Leone"	"Paki Masabong"	n/a	"Area Blockade"	Quarantine	Northern	SL02	Bombali	SL0201	"Paki Masabong"	SL0201052	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8620	Northern	ADM1
ID1025	Domestic	"Sierra Leone"	Fakunya	n/a	"Area Blockade"	Quarantine	Southern	SL03	Moyamba	SL0303	Fakunya	SL0303128	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8621	Southern	ADM1
ID1026	Domestic	"Sierra Leone"	"Lower Banta (aka Banta Gbangbatote)"	n/a	"Area Blockade"	Quarantine	Southern	SL03	Moyamba	SL0303	"Lower Banta (aka Banta Gbangbatote)"	SL0303124	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8621	Southern	ADM1
ID1027	Domestic	"Sierra Leone"	"Bumpeh "	n/a	"Area Blockade"	Quarantine	Southern	SL03	Moyamba	SL0303	"Bumpeh "	SL0303126	2014-09-25	n/a	"Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) "	http://reliefweb.int/report/sierra-leone/press-release-measures-end-ebola-outbreak-24th-september-2014	"Residents in these chiefdoms must not travel to any other chiefdom until further notice."	SL	8621	Southern	ADM1
ID1028	Domestic	"Sierra Leone"	"Pehe Bongre"	n/a	"Area Blockade"	"Restricted Movement"	Eastern	SL01	Kailahun	SL0101	"Pehe Bongre"	SL0101010	2014-08-12	n/a	"Newsweek - Sierra Leone Jokibu Quarantine"	http://www.newsweek.com/ebola-sierra-leone-jokibu-quarantine-264178	"Local villages imposing own methods of quarantine."	SL	8619	Eastern	ADM1
ID1029	Domestic	"Sierra Leone"	Nieni	n/a	"Area Blockade"	"Restricted Movement"	Northern	SL02	Koinadugu	SL0203	Nieni	SL0203070	2014-10-31	n/a	"The Guardian - On Our Radar"	https://witness.theguardian.com/assignment/541c1101e4b0e32cb9c53a41/1198564	"Nieni chiefdom has been placed under quarantine."	SL	8620	Northern	ADM1
ID1030	Domestic	"Sierra Leone"	"Moyamba Town"	n/a	"Area Blockade"	"Restricted Movement"	Southern	SL03	Moyamba	SL0303	Kaiyamba	SL0303130	2014-09-22	n/a	"International SOS - Sierra Leone"	https://www.internationalsos.com/ebola/index.cfm?content_id=397&language_id=ENG	"Moyamba Town entered effective lockdown with most houses under quarantine. In response to people participating in the recent burial of a prominent citizen."	SL	8621	Southern	ADM1
ID1031	Domestic	"Sierra Leone"	"Moyamba Junction"	n/a	"Area Blockade"	"Restricted Movement"	Southern	SL03	Moyamba	SL0303	Fakunya	SL0303128	2014-09-22	n/a	"International SOS - Sierra Leone"	https://www.internationalsos.com/ebola/index.cfm?content_id=397&language_id=ENG	"Moyamba Junction entered effective lockdown with most houses under quarantine. In response to people participating in the recent burial of a prominent citizen."	SL	8621	Southern	ADM1
ID1032	Domestic	"Sierra Leone"	Kigbal	n/a	"Area Blockade"	Quarantine	Northern	SL02	"Port Loko"	SL0204	Lokomasama	SL0204081	2014-11-09	n/a	"Agence France Press - Rural Sierra Leone Waits for Help"	http://reliefweb.int/report/sierra-leone/rural-sierra-leone-waits-help-ebola-does-its-worst	"The hamlet of Kigal is ""red zone"" and under quarantine."	SL	8620	Northern	ADM1
ID1033	Domestic	"Sierra Leone"	Koidu	n/a	"National Law"	"Movement Order"	Eastern	SL01	Kono	SL0103	Gbense	SL0103034	2014-10-21	n/a	"Acaps - Global Emergency Overview"	http://reliefweb.int/sites/reliefweb.int/files/resources/geo%204Nov2014.pdf	"Authorities impose a curfew on the town of Koidu after rioting."	SL	8619	Eastern	ADM1
