"","Date","country","location","variable","value","dataSource","val.approx"
"1",2014-09-21,"Guinea","BEYLA","CASES",1,"Patient database",1
"2",2014-09-22,NA,NA,NA,NA,NA,1
"3",2014-09-23,NA,NA,NA,NA,NA,1
"4",2014-09-24,NA,NA,NA,NA,NA,1
"5",2014-09-25,NA,NA,NA,NA,NA,1
"6",2014-09-26,NA,NA,NA,NA,NA,1
"7",2014-09-27,NA,NA,NA,NA,NA,1
"8",2014-09-28,"Guinea","BEYLA","CASES",1,"Situation report",1
"9",2014-09-28,"Guinea","BEYLA","CASES",1,"Patient database",1
"10",2014-09-29,NA,NA,NA,NA,NA,1
"11",2014-09-30,NA,NA,NA,NA,NA,1
"12",2014-10-01,NA,NA,NA,NA,NA,1
"13",2014-10-02,NA,NA,NA,NA,NA,1
"14",2014-10-03,NA,NA,NA,NA,NA,1
"15",2014-10-04,NA,NA,NA,NA,NA,1
"16",2014-10-05,"Guinea","BEYLA","CASES",0,"Situation report",0
"17",2014-10-06,NA,NA,NA,NA,NA,0
"18",2014-10-07,NA,NA,NA,NA,NA,0
"19",2014-10-08,NA,NA,NA,NA,NA,0
"20",2014-10-09,NA,NA,NA,NA,NA,0
"21",2014-10-10,NA,NA,NA,NA,NA,0
"22",2014-10-11,NA,NA,NA,NA,NA,0
"23",2014-10-12,"Guinea","BEYLA","CASES",3,"Patient database",4
"24",2014-10-12,"Guinea","BEYLA","CASES",5,"Situation report",4
"25",2014-10-13,NA,NA,NA,NA,NA,4
"26",2014-10-14,NA,NA,NA,NA,NA,4
"27",2014-10-15,NA,NA,NA,NA,NA,4
"28",2014-10-16,NA,NA,NA,NA,NA,4
"29",2014-10-17,NA,NA,NA,NA,NA,4
"30",2014-10-18,NA,NA,NA,NA,NA,4
"31",2014-10-19,"Guinea","BEYLA","CASES",1,"Situation report",2.5
"32",2014-10-19,"Guinea","BEYLA","CASES",4,"Patient database",2.5
"33",2014-10-20,NA,NA,NA,NA,NA,2.5
"34",2014-10-21,NA,NA,NA,NA,NA,2.5
"35",2014-10-22,NA,NA,NA,NA,NA,2.5
