Destination Country,Donor,Recipient Organization,Emergency title,Response Plan/Appeal title,Project code,Emergency year,USD committed/contributed,USD pledged,Description,IASC Standard Sector,Original currency amount,Original currency unit,Decision date,Contribution status,Reported by
Benin,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"162,000",0,(Benin) Response to Ebola outbreak,HEALTH,"949,320",DKK,10/31/14,Paid contribution,Agency
Benin,Germany,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"108,000",0,(Benin) Ebola Response,HEALTH,"84,996",EUR,11/4/14,Paid contribution,Donor and Agency
Benin,Luxembourg,Luxembourg Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"26,350",0,(Benin) Regional programme for Ebola preparedness (AH/CR/2014/0010),HEALTH,"20,000",EUR,9/29/14,Commitment,Donor
Burkina Faso,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"216,000",0,(Burkina Faso) Response to Ebola outbreak,HEALTH,"1,265,760",DKK,10/31/14,Paid contribution,Agency
Burkina Faso,Luxembourg,Luxembourg Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"52,701",0,(Burkina Faso) Regional programme for Ebola preparedness (AH/CR/2014/0010),HEALTH,"40,000",EUR,9/29/14,Commitment,Donor
Burundi,Luxembourg,Luxembourg Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"19,763",0,(Burundi) Regional programme for Ebola preparedness (AH/CR/2014/0010),HEALTH,"15,000",EUR,9/29/14,Commitment,Donor
Cameroon,Canada,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"9,183",0,(Cameroon) Cameroon - IFRC Emergency Appeal,HEALTH,"10,000",CAD,8/25/14,Commitment,Donor
Cameroon,France,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"527,009",0,(Cameroon) Contrat de désendettement et de développement.Contribution au plan de riposte via le GIP ESTHER.,HEALTH,"400,000",EUR,9/1/14,Commitment,Donor
"Congo, Democratic Republic of the",Central Emergency Response Fund,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"535,508",0,"(DRC) Riposte à l’épidémie de la Maladie virale Ébola dans la Province de l’Équateur, en RDC",HEALTH,,USD,10/2/14,Paid contribution,Donor and Agency
"Congo, Democratic Republic of the",Common Humanitarian Fund,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"712,542",0,(DRC) Riposte à la maladie virale Ebola,HEALTH,,USD,9/24/14,Paid contribution,Donor and Agency
Cote d'Ivoire,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"140,000",0,(Cote d'Ivoire) Response to Ebola outbreak,HEALTH,"820,400",DKK,10/31/14,Paid contribution,Agency
Cote d'Ivoire,France,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"12,055,336",0,(Cote d'Ivoire) Contrat de désendettement et de développement (C2D) : contribution au plan de riposte guinéen.,HEALTH,"9,150,000",EUR,9/1/14,Commitment,Donor
Cote d'Ivoire,Netherlands,Netherlands Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"52,701",0,(Cote d'Ivoire) Ebola virus control (23833),HEALTH,"40,000",EUR,9/19/14,Commitment,Donor
Cote d'Ivoire,Spain,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"13,305",0,(Cote d'Ivoire) To prepare the Cote d’Ivoire Red Cross through reinforcement of volunteers andmaterial. (MDRCI006),HEALTH,"9,952",EUR,8/22/14,Commitment,Donor
Cote d'Ivoire,Sweden,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"200,000",0,(Cote d'ivoire) Response to Ebola outbreak,HEALTH,"1,504,000",SEK,10/6/14,Paid contribution,Donor and Agency
