"","Date","country","location","variable","value","dataSource","val.approx","USD_given","USD_interp"
"1",2014-01-01,"Guinea",NA,NA,NA,NA,NA,0,0
"2",2014-01-01,"Liberia",NA,NA,NA,NA,NA,0,0
"3",2014-01-01,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"4",2014-01-02,"Guinea",NA,NA,NA,NA,NA,0,0
"5",2014-01-02,"Liberia",NA,NA,NA,NA,NA,0,0
"6",2014-01-02,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"7",2014-01-03,"Guinea",NA,NA,NA,NA,NA,0,0
"8",2014-01-03,"Liberia",NA,NA,NA,NA,NA,0,0
"9",2014-01-03,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"10",2014-01-04,"Guinea",NA,NA,NA,NA,NA,0,0
"11",2014-01-04,"Liberia",NA,NA,NA,NA,NA,0,0
"12",2014-01-04,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"13",2014-01-05,"Guinea","GUECKEDOU","CASES",2,"Patient database",2,0,0
"14",2014-01-05,"Liberia",NA,NA,NA,NA,NA,0,0
"15",2014-01-05,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"16",2014-01-06,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"17",2014-01-06,"Liberia",NA,NA,NA,NA,NA,0,0
"18",2014-01-06,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"19",2014-01-07,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"20",2014-01-07,"Liberia",NA,NA,NA,NA,NA,0,0
"21",2014-01-07,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"22",2014-01-08,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"23",2014-01-08,"Liberia",NA,NA,NA,NA,NA,0,0
"24",2014-01-08,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"25",2014-01-09,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"26",2014-01-09,"Liberia",NA,NA,NA,NA,NA,0,0
"27",2014-01-09,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"28",2014-01-10,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"29",2014-01-10,"Liberia",NA,NA,NA,NA,NA,0,0
"30",2014-01-10,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"31",2014-01-11,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"32",2014-01-11,"Liberia",NA,NA,NA,NA,NA,0,0
"33",2014-01-11,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"34",2014-01-12,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"35",2014-01-12,"Liberia",NA,NA,NA,NA,NA,0,0
"36",2014-01-12,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"37",2014-01-13,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"38",2014-01-13,"Liberia",NA,NA,NA,NA,NA,0,0
"39",2014-01-13,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"40",2014-01-14,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"41",2014-01-14,"Liberia",NA,NA,NA,NA,NA,0,0
"42",2014-01-14,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"43",2014-01-15,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"44",2014-01-15,"Liberia",NA,NA,NA,NA,NA,0,0
"45",2014-01-15,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"46",2014-01-16,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"47",2014-01-16,"Liberia",NA,NA,NA,NA,NA,0,0
"48",2014-01-16,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"49",2014-01-17,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"50",2014-01-17,"Liberia",NA,NA,NA,NA,NA,0,0
"51",2014-01-17,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"52",2014-01-18,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"53",2014-01-18,"Liberia",NA,NA,NA,NA,NA,0,0
"54",2014-01-18,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"55",2014-01-19,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"56",2014-01-19,"Liberia",NA,NA,NA,NA,NA,0,0
"57",2014-01-19,"Sierra Leone",NA,NA,NA,NA,NA,0,0
"58",2014-01-20,"Guinea","GUECKEDOU",NA,NA,NA,2,0,0
"59",2014-01-20,"Liberia",NA,NA,NA,NA,NA,0,0
