Location,Cases,Deaths,Fatality,Date
Kailahun,16,5,31,41785
Kailahun,37,6,16,41788
Kailahun,41,6,15,41791
Kailahun,92,46,50,41807
Kailahun,128,55,43,41809
Kailahun,135,32,24,41810
Kailahun,428,230,54,41866
Kailahun,433,206,48,41868
Kailahun,455,245,54,41870
Kailahun,456,210,46,41871
Kailahun,474,219,46,41874
Kailahun,486,259,53,41875
Kailahun,486,219,45,41876
Kailahun,486,259,53,41877
Kailahun,499,263,53,41879
Kailahun,516,263,51,41882
Kailahun,528,219,41,41884
Kailahun,542,220,41,41885
Kailahun,552,220,40,41887
Kailahun,552,220,40,41888
Kailahun,558,221,40,41891
Kailahun,558,222,40,41892
Kailahun,558,274,49,41893
Kailahun,558,225,40,41894
Kailahun,601,285,47,41898
Kailahun,601,234,39,41898
Kailahun,579,238,41,41899
Kailahun,579,244,42,41900
Kailahun,579,246,42,41901
Kailahun,579,249,43,41902
Kailahun,579,249,43,41903
Kailahun,579,249,43,41904
Kailahun,579,249,43,41905
Kailahun,579,249,43,41906
Kailahun,579,249,43,41907
Kailahun,579,249,43,41908
Kailahun,579,249,43,41909
Kailahun,579,251,43,41910
Kailahun,579,254,44,41911
Kailahun,579,254,44,41912
Kailahun,580,255,44,41913
Kailahun,580,255,44,41915
Kailahun,581,255,44,41916
Kailahun,583,257,44,41920
Kailahun,583,257,44,41922
Kailahun,583,257,44,41923
Kailahun,585,258,44,41924
Kailahun,586,258,44,41925
Kailahun,586,258,44,41926
Kailahun,587,258,44,41926
Kailahun,591,258,44,41928
Kailahun,591,258,44,41929
Kailahun,595,258,43,41930
Kailahun,595,259,44,41931
Kailahun,599,259,43,41932
Kailahun,600,260,43,41933
Kailahun,600,262,44,41934
Kailahun,601,262,44,41935
Kailahun,601,262,44,41936
Kailahun,601,262,44,41937
Kailahun,601,262,44,41938
Kailahun,601,263,44,41939
Kailahun,601,264,44,41940
Kailahun,601,265,44,41942
Kailahun,604,265,44,41943
Kailahun,605,267,44,41949
Bo,1,0,0,41788
Bo,13,0,0,41791
Bo,25,2,8,41866
Bo,25,2,8,41868
Bo,27,2,7,41870
Bo,27,2,7,41871
Bo,34,2,6,41874
Bo,36,2,6,41875
Bo,36,10,28,41876
Bo,36,10,28,41877
Bo,36,10,28,41879
Bo,52,15,29,41882
Bo,54,16,30,41884
Bo,54,16,30,41885
Bo,67,16,24,41887
Bo,70,16,23,41888
Bo,73,16,22,41891
Bo,75,16,21,41892
Bo,84,16,19,41893
Bo,87,16,18,41894
Bo,90,16,18,41898
Bo,90,16,18,41898
Bo,90,16,18,41899
Bo,95,16,17,41900
Bo,95,16,17,41901
Bo,95,16,17,41902
Bo,95,16,17,41903
Bo,103,16,16,41904
Bo,104,16,15,41905
Bo,102,16,16,41906
Bo,102,16,16,41907
Bo,103,16,16,41908
Bo,109,16,15,41909
Bo,111,17,15,41910
Bo,111,17,15,41911
Bo,118,17,14,41912
Bo,120,17,14,41913
Bo,120,17,14,41915
Bo,131,94,72,41916
Bo,142,94,66,41920
Bo,147,97,66,41922
Bo,160,97,61,41923
Bo,160,98,61,41924
Bo,162,98,60,41925
Bo,174,99,57,41926
Bo,184,101,55,41926
Bo,185,102,55,41928
Bo,190,103,54,41929
Bo,193,103,53,41930
Bo,199,104,52,41931
Bo,200,105,53,41932
Bo,211,79,37,41933
Bo,215,105,49,41934
Bo,218,105,48,41935
Bo,218,110,50,41936
Bo,223,110,49,41937
Bo,224,110,49,41938
Bo,232,110,47,41939
Bo,233,110,47,41940
Bo,244,110,45,41942
Bo,244,110,45,41943
Bo,260,112,43,41949
Bombali,1,0,0,41791
Bombali,9,1,11,41866
Bombali,9,1,11,41868
Bombali,12,1,8,41870
Bombali,12,1,8,41871
Bombali,19,1,5,41874
Bombali,19,1,5,41875
Bombali,22,2,9,41876
Bombali,22,2,9,41877
Bombali,37,2,5,41879
Bombali,46,6,13,41882
Bombali,46,6,13,41884
Bombali,46,6,13,41885
Bombali,54,6,11,41887
Bombali,69,6,9,41888
Bombali,75,6,8,41891
Bombali,75,6,8,41892
Bombali,75,6,8,41893
Bombali,84,6,7,41894
Bombali,119,6,5,41898
Bombali,119,6,5,41898
Bombali,129,6,5,41899
Bombali,129,6,5,41900
Bombali,129,6,5,41901
Bombali,158,6,4,41902
Bombali,159,6,4,41903
Bombali,159,8,5,41904
Bombali,160,9,6,41905
Bombali,192,9,5,41906
Bombali,187,10,5,41907
Bombali,203,10,5,41908
Bombali,232,11,5,41909
Bombali,238,12,5,41910
Bombali,240,13,5,41911
Bombali,240,14,6,41912
Bombali,240,14,6,41913
Bombali,262,18,7,41915
Bombali,329,107,33,41916
Bombali,376,112,30,41920
Bombali,395,135,34,41922
Bombali,424,140,33,41923
Bombali,446,140,31,41924
Bombali,446,152,34,41925
Bombali,463,152,33,41926
Bombali,465,156,34,41926
Bombali,500,156,31,41928
Bombali,504,157,31,41929
Bombali,515,159,31,41930
Bombali,515,161,31,41931
Bombali,541,163,30,41932
Bombali,545,74,14,41933
Bombali,545,166,30,41934
Bombali,545,167,31,41935
Bombali,560,173,31,41936
Bombali,578,178,31,41937
Bombali,578,180,31,41938
Bombali,610,180,30,41939
Bombali,622,182,29,41940
Bombali,638,183,29,41942
Bombali,658,183,28,41943
Bombali,723,190,26,41949
Bonthe,1,0,0,41866
Bonthe,1,0,0,41868
Bonthe,1,0,0,41870
Bonthe,1,0,0,41871
Bonthe,1,0,0,41874
Bonthe,1,0,0,41875
Bonthe,1,0,0,41876
Bonthe,1,0,0,41877
Bonthe,1,0,0,41879
Bonthe,1,1,100,41882
Bonthe,1,1,100,41884
Bonthe,1,1,100,41885
Bonthe,1,1,100,41887
Bonthe,1,1,100,41888
Bonthe,1,1,100,41891
Bonthe,1,1,100,41892
Bonthe,1,1,100,41893
Bonthe,1,1,100,41894
Bonthe,2,1,50,41898
Bonthe,2,1,50,41898
Bonthe,2,1,50,41899
Bonthe,2,1,50,41900
Bonthe,2,1,50,41901
Bonthe,2,1,50,41902
Bonthe,3,1,33,41903
Bonthe,3,1,33,41904
Bonthe,3,1,33,41905
Bonthe,3,1,33,41906
Bonthe,3,1,33,41907
Bonthe,3,1,33,41908
Bonthe,3,1,33,41909
Bonthe,3,1,33,41910
Bonthe,3,1,33,41911
Bonthe,3,1,33,41912
Bonthe,3,1,33,41913
Bonthe,3,1,33,41915
Bonthe,3,1,33,41916
Bonthe,3,1,33,41920
Bonthe,3,3,100,41922
Bonthe,3,3,100,41923
Bonthe,3,3,100,41924
Bonthe,3,3,100,41925
Bonthe,3,3,100,41926
Bonthe,5,3,60,41926
Bonthe,5,3,60,41928
Bonthe,5,3,60,41929
Bonthe,5,3,60,41930
Bonthe,5,3,60,41931
Bonthe,5,3,60,41932
Bonthe,5,3,60,41934
Bonthe,5,3,60,41935
Bonthe,5,3,60,41936
Bonthe,5,3,60,41937
Bonthe,5,3,60,41938
Bonthe,5,3,60,41939
Bonthe,5,3,60,41940
Bonthe,5,3,60,41942
Bonthe,5,3,60,41943
Bonthe,5,3,60,41949
Kambia,1,0,0,41807
Kambia,1,0,0,41809
Kambia,1,1,100,41810
Kambia,1,0,0,41866
Kambia,1,0,0,41868
Kambia,1,0,0,41870
Kambia,1,0,0,41871
Kambia,1,0,0,41874
Kambia,1,0,0,41875
Kambia,1,0,0,41876
Kambia,1,0,0,41877
Kambia,1,0,0,41879
Kambia,1,0,0,41882
Kambia,1,0,0,41884
Kambia,1,0,0,41885
Kambia,1,0,0,41887
Kambia,1,0,0,41888
Kambia,1,0,0,41891
Kambia,2,1,50,41892
Kambia,3,0,0,41893
Kambia,3,1,33,41894
Kambia,3,0,0,41898
Kambia,3,1,33,41898
Kambia,4,1,25,41899
Kambia,4,1,25,41900
Kambia,4,1,25,41901
Kambia,4,1,25,41902
Kambia,10,1,10,41903
Kambia,10,1,10,41904
Kambia,10,1,10,41905
Kambia,13,1,8,41906
Kambia,13,1,8,41907
Kambia,13,1,8,41908
Kambia,13,1,8,41909
Kambia,15,1,7,41910
Kambia,19,1,5,41911
Kambia,19,1,5,41912
Kambia,19,1,5,41913
Kambia,24,1,4,41915
Kambia,24,1,4,41916
Kambia,25,1,4,41920
Kambia,25,24,96,41922
Kambia,27,24,89,41923
Kambia,28,24,86,41924
Kambia,28,24,86,41925
Kambia,28,24,86,41926
Kambia,28,24,86,41926
Kambia,28,24,86,41928
Kambia,30,24,80,41929
Kambia,30,24,80,41930
Kambia,30,24,80,41931
Kambia,30,24,80,41932
Kambia,33,24,73,41933
Kambia,34,24,71,41934
Kambia,34,24,71,41935
Kambia,34,24,71,41936
Kambia,34,24,71,41937
Kambia,34,24,71,41938
Kambia,35,24,69,41939
Kambia,40,24,60,41940
Kambia,42,24,57,41942
Kambia,43,26,60,41943
Kambia,60,28,47,41949
Kenema,1,0,0,41788
Kenema,3,0,0,41791
Kenema,4,1,25,41809
Kenema,19,2,11,41810
Kenema,273,112,41,41866
Kenema,281,125,44,41868
Kenema,302,134,44,41870
Kenema,294,136,46,41871
Kenema,312,146,47,41874
Kenema,324,151,47,41875
Kenema,331,155,47,41876
Kenema,333,162,49,41877
Kenema,343,166,48,41879
Kenema,367,177,48,41882
Kenema,379,185,49,41884
Kenema,384,189,49,41885
Kenema,394,194,49,41887
Kenema,401,194,48,41888
Kenema,415,203,49,41891
Kenema,419,210,50,41892
Kenema,420,213,51,41893
Kenema,422,221,52,41894
Kenema,438,233,53,41898
Kenema,438,233,53,41898
Kenema,439,233,53,41899
Kenema,438,233,53,41900
Kenema,439,233,53,41901
Kenema,443,233,53,41902
Kenema,449,233,52,41903
Kenema,450,233,52,41904
Kenema,450,234,52,41905
Kenema,452,234,52,41906
Kenema,453,234,52,41907
Kenema,459,234,51,41908
Kenema,459,236,51,41909
Kenema,461,236,51,41910
Kenema,463,236,51,41911
Kenema,465,236,51,41912
Kenema,468,236,50,41913
Kenema,474,236,50,41915
Kenema,477,236,49,41916
Kenema,477,241,51,41920
Kenema,479,242,51,41922
Kenema,481,242,50,41923
Kenema,495,242,49,41924
Kenema,502,242,48,41925
Kenema,519,243,47,41926
Kenema,523,244,47,41926
Kenema,523,245,47,41928
Kenema,531,249,47,41929
Kenema,535,250,47,41930
Kenema,536,250,47,41931
Kenema,543,250,46,41932
Kenema,546,251,46,41933
Kenema,552,252,46,41934
Kenema,553,252,46,41935
Kenema,555,252,45,41936
Kenema,560,253,45,41937
Kenema,560,253,45,41938
Kenema,566,255,45,41939
Kenema,572,256,45,41940
Kenema,579,259,45,41942
Kenema,585,259,44,41943
Kenema,591,260,44,41949
Koinadugu,1,0,0,41788
Koinadugu,2,0,0,41791
Koinadugu,0,0,0,41866
Koinadugu,0,0,0,41868
Koinadugu,0,0,0,41870
Koinadugu,0,0,0,41871
Koinadugu,0,0,0,41874
Koinadugu,0,0,0,41875
Koinadugu,0,0,0,41876
Koinadugu,0,0,0,41877
Koinadugu,0,0,0,41879
Koinadugu,1,0,0,41882
Koinadugu,0,0,0,41884
Koinadugu,0,0,0,41885
Koinadugu,0,0,0,41887
Koinadugu,0,0,0,41888
Koinadugu,0,0,0,41891
Koinadugu,0,0,0,41892
Koinadugu,0,0,0,41893
Koinadugu,0,0,0,41894
Koinadugu,0,0,0,41898
Koinadugu,0,0,0,41898
Koinadugu,0,0,0,41899
Koinadugu,0,0,0,41900
Koinadugu,0,0,0,41901
Koinadugu,0,0,0,41902
Koinadugu,0,0,0,41903
Koinadugu,0,0,0,41904
Koinadugu,0,0,0,41905
Koinadugu,0,0,0,41906
Koinadugu,0,0,0,41907
Koinadugu,0,0,0,41908
Koinadugu,0,0,0,41909
Koinadugu,0,0,0,41910
Koinadugu,0,0,0,41911
Koinadugu,0,0,0,41912
Koinadugu,0,0,0,41913
Koinadugu,0,0,0,41915
Koinadugu,0,0,0,41916
Koinadugu,0,0,0,41920
Koinadugu,0,0,0,41922
Koinadugu,0,0,0,41923
Koinadugu,0,0,0,41924
Koinadugu,0,0,0,41925
Koinadugu,2,0,0,41926
Koinadugu,2,0,0,41926
Koinadugu,2,0,0,41928
Koinadugu,2,0,0,41929
Koinadugu,2,0,0,41930
Koinadugu,4,0,0,41931
Koinadugu,9,0,0,41932
Koinadugu,9,0,0,41934
Koinadugu,9,0,0,41935
Koinadugu,23,17,74,41936
Koinadugu,45,39,87,41937
Koinadugu,50,39,78,41938
Koinadugu,50,39,78,41939
Koinadugu,56,39,70,41940
Koinadugu,56,39,70,41942
Koinadugu,56,39,70,41943
Koinadugu,89,44,49,41949
Kono,1,0,0,41807
Kono,35,0,0,41866
Kono,35,0,0,41868
Kono,35,0,0,41870
Kono,35,0,0,41871
Kono,35,1,3,41874
Kono,35,1,3,41875
Kono,35,1,3,41876
Kono,35,1,3,41877
Kono,35,1,3,41879
Kono,38,1,3,41882
Kono,39,3,8,41884
Kono,43,3,7,41885
Kono,44,3,7,41887
Kono,47,3,6,41888
Kono,51,3,6,41891
Kono,51,3,6,41892
Kono,55,3,5,41893
Kono,55,3,5,41894
Kono,55,3,5,41898
Kono,55,3,5,41898
Kono,55,3,5,41899
Kono,56,3,5,41900
Kono,56,3,5,41901
Kono,58,3,5,41902
Kono,58,3,5,41903
Kono,58,3,5,41904
Kono,59,3,5,41905
Kono,59,3,5,41906
Kono,59,3,5,41907
Kono,59,3,5,41908
Kono,59,3,5,41909
Kono,59,3,5,41910
Kono,62,3,5,41911
Kono,62,3,5,41912
Kono,67,3,4,41913
Kono,67,3,4,41915
Kono,67,39,58,41916
Kono,80,39,49,41920
Kono,80,39,49,41922
Kono,84,39,46,41923
Kono,84,39,46,41924
Kono,84,39,46,41925
Kono,84,39,46,41926
Kono,88,39,44,41926
Kono,88,39,44,41928
Kono,88,39,44,41929
Kono,89,39,44,41930
Kono,89,39,44,41931
Kono,89,39,44,41932
Kono,89,39,44,41933
Kono,89,39,44,41934
Kono,94,39,41,41935
Kono,95,39,41,41936
Kono,95,39,41,41937
Kono,95,39,41,41938
